Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
PPCB,"Propanc Biopharma, Inc. Common Stock",,8.06,+5.19,+180.84%,43.593M,"10,072",93.591M,--,"+239,066.67%",
DAY,Dayforce Inc,,66.56,+13.68,+25.87%,3.992M,1.843M,10.629B,221.87,-4.84%,
WULF,TeraWulf Inc.,,10.48,+1.51,+16.83%,62.818M,51.801M,4.11B,--,+106.21%,
APLD,Applied Digital Corporation,,15.87,+1.78,+12.63%,24.292M,49.797M,4.15B,--,+242.82%,
CIFR,Cipher Mining Inc.,,5.79,+0.58,+11.22%,9.306M,31.912M,2.279B,--,+30.58%,
RUN,Sunrun Inc.,,15.33,+1.41,+10.13%,22.866M,24.218M,3.537B,--,-31.29%,
DUOL,"Duolingo, Inc.",,358.26,+31.33,+9.58%,1.088M,1.198M,16.416B,146.23,+57.80%,
NXT,Nextracker Inc.,,66.06,+5.48,+9.05%,2.226M,2.503M,10.027B,18.00,+50.40%,
FSLR,"First Solar, Inc.",,217.08,+17.13,+8.57%,3.562M,4.116M,23.281B,18.55,-12.45%,
ALVO,Alvotech,,8.62,+0.60,+7.41%,"523,533","295,959",2.686B,37.48,-38.22%,
OSCR,"Oscar Health, Inc.",,16.66,+1.02,+6.52%,12.418M,25.437M,4.308B,--,-11.24%,
NWL,Newell Brands Inc.,,5.75,+0.29,+5.31%,1.89M,9.22M,2.41B,--,-26.22%,
MNSO,MINISO Group Holding Limited,,20.66,+0.93,+4.71%,"184,439","910,258",6.313B,18.78,+26.39%,
NVO,Novo Nordisk A/S,,54.29,+2.47,+4.76%,15.467M,14.432M,234.418B,13.85,-61.25%,
KC,Kingsoft Cloud Holdings Limited,,14.24,+0.66,+4.86%,"744,985",1.902M,4.004B,--,+436.76%,
WBTN,WEBTOON Entertainment Inc.,,15.77,+0.80,+5.31%,"431,759","561,338",2.059B,--,+14.62%,
ENLT,Enlight Renewable Energy Ltd,,27.34,+1.26,+4.82%,"25,165","36,932",3.281B,160.82,+61.29%,
ALHC,"Alignment Healthcare, Inc.",,15.77,+0.72,+4.82%,"361,369",3.422M,3.124B,--,+75.20%,
AMRN,Amarin Corporation plc,,16.4,+0.75,+4.76%,"25,157","110,720",339.095M,--,+16.79%,
EPAM,"EPAM Systems, Inc.",,165.39,+7.68,+4.87%,"226,186","778,661",9.212B,23.63,-22.04%,
HSAI,Hesai Group,,26.7,+1.11,+4.34%,2.176M,3.431M,3.537B,242.73,+464.90%,
ELF,"e.l.f. Beauty, Inc.",,121.69,+5.32,+4.57%,"484,654",2.545M,6.904B,72.01,-27.31%,
VKTX,"Viking Therapeutics, Inc.",,41.47,+1.44,+3.60%,1.313M,3.814M,4.663B,--,-39.92%,
DAVE,Dave Inc.,,209.46,+8.07,+4.01%,"133,493","575,404",2.828B,55.27,+432.78%,
GDS,GDS Holdings Limited,,32.66,+1.25,+3.98%,"680,003",2.105M,6.434B,296.91,+135.10%,
